age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
30-34,Male,United States of America,Doctoral,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",basic,1-2 years
35-39,Female,United States of America,Doctoral,Student,,,,advance,1-2 years
25-29,Male,United States of America,Masters,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,5-10 years
25-29,Male,Nigeria,Bachelors,Student,,,,advance,< 1 years
30-34,Male,Turkey,Masters,Student,,,,advance,5-10 years
45-49,Male,Norway,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"7,500-9,999",intermediate,3-5 years
35-39,Male,Italy,Masters,Product/Project Manager,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,3-5 years
35-39,Male,Spain,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,< 1 years
30-34,Female,Canada,Bachelors,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,3-5 years
40-44,Male,Peru,Masters,Data Engineer,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years
18-21,Male,United States of America,Bachelors,Student,,,,advance,< 1 years
18-21,Male,United States of America,Coursework,Student,,,,advance,I have never written code
45-49,Male,Australia,Coursework,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,10-20 years
22-24,Female,Tunisia,Masters,Data Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,3-5 years
40-44,Other,Portugal,Coursework,Data Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",advance,1-2 years
35-39,Male,Australia,Doctoral,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,10-20 years
35-39,Male,Germany,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,10-20 years
30-34,Male,Other,Bachelors,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,I have never written code
60-69,Female,United States of America,Bachelors,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,20+ years
25-29,Male,Other,Coursework,Student,,,,basic,1-2 years
35-39,Male,Canada,Doctoral,Other,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"150,000-199,999",advance,5-10 years
35-39,Male,United States of America,Masters,Data Analyst,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years
70+,Male,United States of America,Coursework,Research Scientist,0-49 employees,No (we do not use ML methods),"200,000-249,999",advance,I have never written code
22-24,Male,Indonesia,Bachelors,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",basic,3-5 years
18-21,Male,Nigeria,Bachelors,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",advance,1-2 years
25-29,Female,United States of America,Masters,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",intermediate,3-5 years
30-34,Other,United States of America,Bachelors,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,3-5 years
40-44,Female,Canada,Masters,Student,,,,advance,< 1 years
25-29,Female,United States of America,Masters,Student,,,,advance,1-2 years
18-21,Male,Pakistan,Bachelors,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),$0-999,basic,< 1 years
45-49,Male,United States of America,Doctoral,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,10-20 years
30-34,Male,United States of America,Masters,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years
35-39,Male,Brazil,Coursework,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",intermediate,10-20 years
40-44,Male,India,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years
30-34,Male,Brazil,Masters,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",basic,< 1 years
22-24,Male,Italy,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,3-5 years
22-24,Male,Other,Bachelors,Student,,,,advance,3-5 years
30-34,Female,India,Masters,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,3-5 years
25-29,Other,Spain,Bachelors,Software Engineer,"1000-9,999 employees",I do not know,"25,000-29,999",intermediate,3-5 years
18-21,Male,India,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,basic,< 1 years
40-44,Male,Morocco,Masters,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",intermediate,1-2 years
22-24,Male,Colombia,Coursework,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,< 1 years
18-21,Male,United States of America,Bachelors,Student,,,,advance,1-2 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Research Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,5-10 years
60-69,Male,Canada,Coursework,Statistician,"> 10,000 employees",I do not know,$0-999,advance,5-10 years
30-34,Male,Australia,Bachelors,Product/Project Manager,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"90,000-99,999",advance,3-5 years
18-21,Male,Other,Bachelors,Student,,,,advance,1-2 years
22-24,Male,Mexico,Coursework,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",advance,5-10 years
35-39,Female,United States of America,Masters,Data Analyst,"> 10,000 employees",I do not know,"25,000-29,999",basic,I have never written code
40-44,Male,United States of America,Doctoral,Other,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",intermediate,20+ years
45-49,Male,United States of America,Masters,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,20+ years
55-59,Male,Italy,Coursework,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,3-5 years
25-29,Male,Peru,Coursework,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years
40-44,Male,Other,Doctoral,Research Scientist,"1000-9,999 employees",I do not know,"30,000-39,999",advance,1-2 years
35-39,Male,Japan,Coursework,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",basic,< 1 years
40-44,Male,Canada,Doctoral,Other,0-49 employees,I do not know,"70,000-79,999",advance,3-5 years
40-44,Male,United States of America,Doctoral,Data Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,3-5 years
45-49,Male,Spain,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"2,000-2,999",advance,20+ years
18-21,Male,"Iran, Islamic Republic of...",Bachelors,Student,,,,advance,< 1 years
35-39,Male,Germany,Bachelors,Student,,,,advance,3-5 years
22-24,Male,United States of America,Bachelors,Student,,,,basic,1-2 years
30-34,Male,United States of America,Doctoral,Research Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,5-10 years
40-44,Male,Germany,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,10-20 years
35-39,Male,Norway,Doctoral,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",intermediate,10-20 years
22-24,Male,United States of America,Masters,Student,,,,advance,3-5 years
50-54,Male,United States of America,Masters,Data Analyst,"> 10,000 employees",No (we do not use ML methods),"90,000-99,999",intermediate,< 1 years
30-34,Female,United States of America,Masters,Data Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,1-2 years
25-29,Male,Austria,Masters,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years
50-54,Male,Czech Republic,Masters,Student,,,,advance,< 1 years
25-29,Female,United States of America,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,5-10 years
25-29,Male,Egypt,Bachelors,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",advance,1-2 years
